address;altitude;callsign;date;destination_iata;destination_icao;equipment;event;flight;flight_id;latitude;longitude;operator;origin_iata;origin_icao;registration;time
780AEC;1875;CSN412;2022-10-06;SZX;ZGSZ;B77L;landed;CZ412;767088108;22.74925;113.73286;CSN;ORD;KORD;B-2042;00:17:28
7C8066;40750;QFA7;2022-10-06;DFW;KDFW;B789;descent;QF7;767105156;32.30722;-99.35277;QFA;SYD;YSSY;VH-ZNC;01:22:13
7C8066;0;QFA7;2022-10-06;DFW;KDFW;B789;landed;QF7;767105156;32.89863;-97.05476;QFA;SYD;YSSY;VH-ZNC;01:49:04
7C8066;0;QFA7;2022-10-06;DFW;KDFW;B789;gate_arrival;QF7;767105156;32.89403;-97.05218;QFA;SYD;YSSY;VH-ZNC;01:50:00
76CD43;41175;SIA34;2022-10-06;SFO;KSFO;A359;descent;SQ34;767106706;38.80774;-124.25537;SIA;SIN;WSSS;9V-SJC;01:37:49
76CD43;0;SIA34;2022-10-06;SFO;KSFO;A359;landed;SQ34;767106706;37.62162;-122.37641;SIA;SIN;WSSS;9V-SJC;02:05:22
76CD43;0;SIA34;2022-10-06;SFO;KSFO;A359;gate_arrival;SQ34;767106706;37.62223;-122.38341;SIA;SIN;WSSS;9V-SJC;02:05:58
89655B;39875;UAE5CL;2022-10-06;DXB;OMDB;A388;descent;EK413;767106896;24.35371;57.79145;UAE;SYD;YSSY;A6-EVO;00:34:05
89655B;0;UAE5CL;2022-10-06;DXB;OMDB;A388;landed;EK413;767106896;25.24783;55.37181;UAE;SYD;YSSY;A6-EVO;01:02:56
89655B;0;UAE5CL;2022-10-06;DXB;OMDB;A388;gate_arrival;EK413;767106896;25.24674;55.36898;UAE;SYD;YSSY;A6-EVO;01:03:38
A9876E;37625;CKS838;2022-10-06;ICN;RKSI;B744;descent;K4838;767107358;36.41368;128.71274;CKS;CVG;KCVG;N713CK;01:57:37
A9876E;0;CKS838;2022-10-06;ICN;RKSI;B744;landed;K4838;767107358;37.47410;126.44894;CKS;CVG;KCVG;N713CK;02:25:03
A9876E;0;CKS838;2022-10-06;ICN;RKSI;B744;gate_arrival;K4838;767107358;37.47838;126.44820;CKS;CVG;KCVG;N713CK;02:25:25
7C806D;39575;QFA9;2022-10-06;LHR;EGLL;B789;descent;QF9;767107413;51.47537;2.98103;QFA;PER;YPPH;VH-ZNJ;03:29:50
7C806D;0;QFA9;2022-10-06;LHR;EGLL;B789;landed;QF9;767107413;51.46487;-0.46358;QFA;PER;YPPH;VH-ZNJ;03:57:25
7C806D;0;QFA9;2022-10-06;LHR;EGLL;B789;gate_arrival;QF9;767107413;51.46600;-0.46855;QFA;PER;YPPH;VH-ZNJ;03:57:56
4D010C;31075;ICV5733;2022-10-06;NRT;RJAA;B744;descent;C85733;767107751;36.90457;138.95036;CLX;MXP;LIMC;LX-WCV;00:42:22
4D010C;0;ICV5733;2022-10-06;NRT;RJAA;B744;landed;C85733;767107751;35.76114;140.37790;CLX;MXP;LIMC;LX-WCV;01:17:13
4D010C;0;ICV5733;2022-10-06;NRT;RJAA;B744;gate_arrival;C85733;767107751;35.76451;140.37776;CLX;MXP;LIMC;LX-WCV;01:17:52
7C806B;38200;QFA10;2022-10-06;PER;YPPH;B789;descent;QF10;767107939;-30.22110;112.82006;QFA;LHR;EGLL;VH-ZNH;02:55:24
7C806B;0;QFA10;2022-10-06;PER;YPPH;B789;landed;QF10;767107939;-31.94863;115.96265;QFA;LHR;EGLL;VH-ZNH;03:35:11
7C806B;0;QFA10;2022-10-06;PER;YPPH;B789;gate_arrival;QF10;767107939;-31.94150;115.96234;QFA;LHR;EGLL;VH-ZNH;03:37:25
8964B2;38825;UAE12JQ;2022-10-06;DXB;OMDB;A388;descent;EK431;767107996;24.37029;57.73834;UAE;BNE;YBBN;A6-EVD;00:23:34
8964B2;0;UAE12JQ;2022-10-06;DXB;OMDB;A388;landed;EK431;767107996;25.24784;55.36980;UAE;BNE;YBBN;A6-EVD;00:50:45
8964B2;0;UAE12JQ;2022-10-06;DXB;OMDB;A388;gate_arrival;EK431;767107996;25.24048;55.37314;UAE;BNE;YBBN;A6-EVD;00:52:38
76CDB7;40325;SIA36;2022-10-06;LAX;KLAX;A359;descent;SQ36;767109166;35.62962;-120.08652;SIA;SIN;WSSS;9V-SMW;02:26:34
76CDB7;0;SIA36;2022-10-06;LAX;KLAX;A359;landed;SQ36;767109166;33.94996;-118.42302;SIA;SIN;WSSS;9V-SMW;02:55:47
76CDB7;0;SIA36;2022-10-06;LAX;KLAX;A359;gate_arrival;SQ36;767109166;33.94940;-118.42545;SIA;SIN;WSSS;9V-SMW;02:55:59
8990E4;36800;EVA032;2022-10-06;JFK;KJFK;B77W;descent;BR32;767110853;42.41737;-75.06115;EVA;TPE;RCTP;B-16722;00:49:52
8990E4;0;EVA032;2022-10-06;JFK;KJFK;B77W;landed;BR32;767110853;40.63909;-73.75967;EVA;TPE;RCTP;B-16722;01:21:15
8990E4;0;EVA032;2022-10-06;JFK;KJFK;B77W;gate_arrival;BR32;767110853;40.64415;-73.75801;EVA;TPE;RCTP;B-16722;01:22:07
4BA9E9;36975;THY21;2022-10-06;IST;LTFM;A333;descent;TK21;767111436;41.86862;31.40654;THY;ICN;RKSI;TC-JOI;00:49:52
4BA9E9;575;THY21;2022-10-06;IST;LTFM;A333;landed;TK21;767111436;41.23151;28.72839;THY;ICN;RKSI;TC-JOI;01:20:43
789218;40850;CPA826;2022-10-06;YYZ;CYYZ;A35K;descent;CX826;767111745;45.47744;-81.88264;CPA;HKG;VHHH;B-LXF;01:12:59
789218;0;CPA826;2022-10-06;YYZ;CYYZ;A35K;landed;CX826;767111745;43.66095;-79.61813;CPA;HKG;VHHH;B-LXF;01:44:18
789218;0;CPA826;2022-10-06;YYZ;CYYZ;A35K;gate_arrival;CX826;767111745;43.66443;-79.62299;CPA;HKG;VHHH;B-LXF;01:45:40
71C006;0;KAL085;2022-10-06;JFK;KJFK;B77W;landed;KE85;767112206;40.64382;-73.75600;KAL;ICN;RKSI;HL8006;00:29:18
71C006;0;KAL085;2022-10-06;JFK;KJFK;B77W;gate_arrival;KE85;767112206;40.64496;-73.75531;KAL;ICN;RKSI;HL8006;00:29:26
89647C;39250;UAE7DK;2022-10-06;DXB;OMDB;A388;descent;EK407;767112478;23.88884;57.40926;UAE;MEL;YMML;A6-EUR;03:00:57
89647C;0;UAE7DK;2022-10-06;DXB;OMDB;A388;landed;EK407;767112478;25.25055;55.36375;UAE;MEL;YMML;A6-EUR;03:25:31
89647C;0;UAE7DK;2022-10-06;DXB;OMDB;A388;gate_arrival;EK407;767112478;25.25095;55.36300;UAE;MEL;YMML;A6-EUR;03:25:32
06A146;37775;QTR9L;2022-10-06;DOH;OTHH;A388;descent;QR909;767113349;24.50338;54.00723;QTR;SYD;YSSY;A7-APE;01:27:50
06A146;0;QTR9L;2022-10-06;DOH;OTHH;A388;landed;QR909;767113349;25.27867;51.59527;QTR;SYD;YSSY;A7-APE;01:59:48
06A146;0;QTR9L;2022-10-06;DOH;OTHH;A388;gate_arrival;QR909;767113349;25.28087;51.59529;QTR;SYD;YSSY;A7-APE;02:00:02
4BB190;0;THY33;2022-10-06;IAH;KIAH;B789;landed;TK33;767114992;30.00720;-95.33890;THY;IST;LTFM;TC-LLP;00:12:17
4BB190;0;THY33;2022-10-06;IAH;KIAH;B789;gate_arrival;TK33;767114992;29.99504;-95.32540;THY;IST;LTFM;TC-LLP;00:13:30
8990A0;35825;CAL5107;2022-10-06;TPE;RCTP;B77L;descent;CI5107;767115221;25.12834;123.47753;CAL;SFO;KSFO;B-18771;00:00:02
8990A0;0;CAL5107;2022-10-06;TPE;RCTP;B77L;landed;CI5107;767115221;25.08864;121.23604;CAL;SFO;KSFO;B-18771;00:27:53
8990A0;0;CAL5107;2022-10-06;TPE;RCTP;B77L;gate_arrival;CI5107;767115221;25.08982;121.24030;CAL;SFO;KSFO;B-18771;00:27:58
