address;altitude;callsign;date;destination_iata;destination_icao;equipment;event;flight;flight_id;latitude;longitude;operator;origin_iata;origin_icao;registration;time
A91A81;525;N686LF;2022-10-03;PDX;KPDX;A119;landed;;766465831;45.49905;-122.68537;;;;N686LF;02:36:55
ABAF47;37850;FDX197;2022-10-03;HNL;PHNL;B77L;descent;FX197;766473984;21.88715;-156.09874;FDX;MEM;KMEM;N852FD;02:50:10
ABAF47;0;FDX197;2022-10-03;HNL;PHNL;B77L;landed;FX197;766473984;21.32531;-157.92453;FDX;MEM;KMEM;N852FD;03:16:57
ABAF47;0;FDX197;2022-10-03;HNL;PHNL;B77L;gate_arrival;FX197;766473984;21.32529;-157.92233;FDX;MEM;KMEM;N852FD;03:17:12
7C8067;0;QFA6;2022-10-03;PER;YPPH;B789;landed;QF6;766481217;-31.93658;115.96612;QFA;FCO;LIRF;VH-ZND;00:21:32
7C8067;0;QFA6;2022-10-03;PER;YPPH;B789;gate_arrival;QF6;766481217;-31.93496;115.96535;QFA;FCO;LIRF;VH-ZND;00:22:02
7C806E;39725;QFA9;2022-10-03;LHR;EGLL;B789;descent;QF9;766481849;51.48701;2.92259;QFA;PER;YPPH;VH-ZNK;03:54:57
7C806E;0;QFA9;2022-10-03;LHR;EGLL;B789;landed;QF9;766481849;51.46500;-0.45406;QFA;PER;YPPH;VH-ZNK;04:25:34
7C806E;0;QFA9;2022-10-03;LHR;EGLL;B789;gate_arrival;QF9;766481849;51.46558;-0.45153;QFA;PER;YPPH;VH-ZNK;04:25:49
71C360;37425;AAR2513;2022-10-03;ICN;RKSI;A359;descent;OZ2513;766489649;35.96584;129.58047;AAR;ATL;KATL;HL8360;00:40:13
71C360;0;AAR2513;2022-10-03;ICN;RKSI;A359;landed;OZ2513;766489649;37.45208;126.43090;AAR;ATL;KATL;HL8360;01:20:48
71C360;0;AAR2513;2022-10-03;ICN;RKSI;A359;gate_arrival;OZ2513;766489649;37.45024;126.44179;AAR;ATL;KATL;HL8360;01:24:55
71C009;0;KAL085;2022-10-03;JFK;KJFK;B77W;landed;KE85;766492623;40.63789;-73.76062;KAL;ICN;RKSI;HL8009;00:21:34
71C009;0;KAL085;2022-10-03;JFK;KJFK;B77W;gate_arrival;KE85;766492623;40.64283;-73.76086;KAL;ICN;RKSI;HL8009;00:23:54
89655C;37875;UAE5CL;2022-10-03;DXB;OMDB;A388;descent;EK413;766492798;23.93880;57.33867;UAE;SYD;YSSY;A6-EVP;00:35:29
89655C;0;UAE5CL;2022-10-03;DXB;OMDB;A388;landed;EK413;766492798;25.25038;55.37533;UAE;SYD;YSSY;A6-EVP;01:09:55
89655C;0;UAE5CL;2022-10-03;DXB;OMDB;A388;gate_arrival;EK413;766492798;25.24839;55.37665;UAE;SYD;YSSY;A6-EVP;01:10:09
789217;30025;CPA846;2022-10-03;JFK;KJFK;A35K;descent;CX846;766492940;41.99319;-74.16685;CPA;HKG;VHHH;B-LXE;01:43:10
789217;0;CPA846;2022-10-03;JFK;KJFK;A35K;landed;CX846;766492940;40.63695;-73.76140;CPA;HKG;VHHH;B-LXE;02:22:13
789217;0;CPA846;2022-10-03;JFK;KJFK;A35K;gate_arrival;CX846;766492940;40.64141;-73.76364;CPA;HKG;VHHH;B-LXE;02:23:25
