address;altitude;callsign;date;destination_iata;destination_icao;equipment;event;flight;flight_id;latitude;longitude;operator;origin_iata;origin_icao;registration;time
407DBF;0;DHK502;2022-10-09;NGO;RJGG;B77L;landed;D0502;767755664;34.86995;136.80263;DHK;CVG;KCVG;G-DHLW;00:23:19
A3965C;1975;FFT1418;2022-10-09;ORD;KORD;A20N;takeoff;F91418;767760022;36.07640;-115.12865;FFT;LAS;KLAS;N330FR;06:52:48
A3965C;34975;FFT1418;2022-10-09;ORD;KORD;A20N;cruising;F91418;767760022;36.47589;-113.24724;FFT;LAS;KLAS;N330FR;07:13:14
A3965C;35100;FFT1418;2022-10-09;ORD;KORD;A20N;descent;F91418;767760022;40.42003;-91.70337;FFT;LAS;KLAS;N330FR;09:26:08
A3965C;400;FFT1418;2022-10-09;ORD;KORD;A20N;landed;F91418;767760022;41.98833;-87.90485;FFT;LAS;KLAS;N330FR;10:06:14
76CDB5;0;SIA51;2022-10-09;SIN;WSSS;A359;landed;SQ51;767768101;1.36022;103.98219;SIA;MAN;EGCC;9V-SMU;00:03:18
76CDB5;0;SIA51;2022-10-09;SIN;WSSS;A359;gate_arrival;SQ51;767768101;1.35693;103.98477;SIA;MAN;EGCC;9V-SMU;00:06:24
7C806B;39650;QFA9;2022-10-09;LHR;EGLL;B789;descent;QF9;767776358;51.46564;3.00697;QFA;PER;YPPH;VH-ZNH;03:27:27
7C806B;0;QFA9;2022-10-09;LHR;EGLL;B789;landed;QF9;767776358;51.46489;-0.46217;QFA;PER;YPPH;VH-ZNH;03:52:46
7C806B;0;QFA9;2022-10-09;LHR;EGLL;B789;gate_arrival;QF9;767776358;51.46572;-0.46829;QFA;PER;YPPH;VH-ZNH;03:53:21
8004DA;38850;AIC183;2022-10-09;SFO;KSFO;B77L;descent;AI183;767777980;39.15106;-123.89897;AIC;DEL;VIDP;VT-ALF;00:19:43
8004DA;0;AIC183;2022-10-09;SFO;KSFO;B77L;landed;AI183;767777980;37.61878;-122.37518;AIC;DEL;VIDP;VT-ALF;00:48:11
8004DA;0;AIC183;2022-10-09;SFO;KSFO;B77L;gate_arrival;AI183;767777980;37.62218;-122.38476;AIC;DEL;VIDP;VT-ALF;00:48:19
7C806A;40775;QFA10;2022-10-09;PER;YPPH;B789;descent;QF10;767780213;-30.88477;112.45557;QFA;LHR;EGLL;VH-ZNG;03:00:07
7C806A;0;QFA10;2022-10-09;PER;YPPH;B789;landed;QF10;767780213;-31.94936;115.96243;QFA;LHR;EGLL;VH-ZNG;03:32:16
7C806A;0;QFA10;2022-10-09;PER;YPPH;B789;gate_arrival;QF10;767780213;-31.93954;115.96244;QFA;LHR;EGLL;VH-ZNG;03:34:25
8880F8;0;HVN18;2022-10-09;HAN;VVNB;B789;landed;VN18;767780431;21.22042;105.80938;HVN;CDG;LFPG;VN-A868;00:09:11
8880F8;0;HVN18;2022-10-09;HAN;VVNB;B789;gate_arrival;VN18;767780431;21.21711;105.81610;HVN;CDG;LFPG;VN-A868;00:10:52
8963CC;0;ETD455;2022-10-09;AUH;OMAA;B77W;landed;EY455;767783621;24.42935;54.65602;ETD;SYD;YSSY;A6-ETS;00:29:52
8963CC;0;ETD455;2022-10-09;AUH;OMAA;B77W;gate_arrival;EY455;767783621;24.43036;54.65100;ETD;SYD;YSSY;A6-ETS;00:31:53
89655A;39675;UAE5CL;2022-10-09;DXB;OMDB;A388;descent;EK413;767786422;23.83167;57.48943;UAE;SYD;YSSY;A6-EVN;00:25:52
89655A;0;UAE5CL;2022-10-09;DXB;OMDB;A388;landed;EK413;767786422;25.25312;55.37021;UAE;SYD;YSSY;A6-EVN;01:01:32
89655A;0;UAE5CL;2022-10-09;DXB;OMDB;A388;gate_arrival;EK413;767786422;25.25161;55.37067;UAE;SYD;YSSY;A6-EVN;01:01:39
899121;0;EVA629;2022-10-09;TPE;RCTP;B77L;landed;BR629;767787112;25.08843;121.23569;EVA;LAX;KLAX;B-16781;00:05:10
899121;0;EVA629;2022-10-09;TPE;RCTP;B77L;gate_arrival;BR629;767787112;25.08996;121.24058;EVA;LAX;KLAX;B-16781;00:05:18
76CCE3;40900;SIA34;2022-10-09;SFO;KSFO;A359;descent;SQ34;767787165;39.15724;-123.92124;SIA;SIN;WSSS;9V-SGC;00:58:48
76CCE3;0;SIA34;2022-10-09;SFO;KSFO;A359;landed;SQ34;767787165;37.62130;-122.38116;SIA;SIN;WSSS;9V-SGC;01:27:47
76CCE3;0;SIA34;2022-10-09;SFO;KSFO;A359;gate_arrival;SQ34;767787165;37.62217;-122.38523;SIA;SIN;WSSS;9V-SGC;01:28:13
3C6710;26475;DLH718;2022-10-09;ICN;RKSI;A359;descent;LH718;767787984;37.17545;124.20509;DLH;MUC;EDDM;D-AIXP;00:03:00
3C6710;0;DLH718;2022-10-09;ICN;RKSI;A359;landed;LH718;767787984;37.45204;126.43090;DLH;MUC;EDDM;D-AIXP;00:27:10
89647D;37450;UAE12JQ;2022-10-09;DXB;OMDB;A388;descent;EK431;767788389;24.37512;57.72331;UAE;BNE;YBBN;A6-EUS;00:24:29
89647D;0;UAE12JQ;2022-10-09;DXB;OMDB;A388;landed;EK431;767788389;25.25303;55.37135;UAE;BNE;YBBN;A6-EUS;00:59:48
89647D;0;UAE12JQ;2022-10-09;DXB;OMDB;A388;gate_arrival;EK431;767788389;25.24481;55.37928;UAE;BNE;YBBN;A6-EUS;01:01:29
896481;37875;UAE7DK;2022-10-09;DXB;OMDB;A388;descent;EK407;767789651;23.98194;57.27841;UAE;MEL;YMML;A6-EUW;00:19:06
896481;0;UAE7DK;2022-10-09;DXB;OMDB;A388;landed;EK407;767789651;25.25145;55.37415;UAE;MEL;YMML;A6-EUW;00:50:40
896481;0;UAE7DK;2022-10-09;DXB;OMDB;A388;gate_arrival;EK407;767789651;25.24548;55.36663;UAE;MEL;YMML;A6-EUW;00:52:24
8A0452;36900;GIA089;2022-10-09;CGK;WIII;B77W;descent;GA89;767789763;-4.01871;105.85256;GIA;AMS;EHAM;PK-GIG;00:37:20
8A0452;0;GIA089;2022-10-09;CGK;WIII;B77W;landed;GA89;767789763;-6.11716;106.64855;GIA;AMS;EHAM;PK-GIG;01:05:39
8A0452;0;GIA089;2022-10-09;CGK;WIII;B77W;gate_arrival;GA89;767789763;-6.11870;106.64672;GIA;AMS;EHAM;PK-GIG;01:05:50
7C806E;40900;QFA93;2022-10-09;LAX;KLAX;B789;descent;QF93;767791749;32.22644;-120.28813;QFA;MEL;YMML;VH-ZNK;00:44:19
